TYPE,SITE_ID,SITE_PID,SITE_TYPE,NAME_ENG,NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,REALM,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,GOVSUBTYPE,OWN_TYPE,OWNSUBTYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,PRNT_ISO3,ISO3,SUPP_INFO,CONS_OBJ,INLND_WTRS,OECM_ASMT
Polygon,555547990,555547990,PA,Western Ghats,Ghâts occidentaux,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(ix);(x),Terrestrial,0,0,7953.15,8115.15086008499,Not Applicable,0,Inscribed,2012,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,IND,IND,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555542337,555542337,PA,Wadi Rum Protected Area,Zone protégée du Wadi Rum,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(iii);(v);(vii),Terrestrial,0,0,741.797,728.752280325719,Not Applicable,0,Inscribed,2011,Not Reported,Not Applicable,Not Reported,Not Applicable,Aqaba Special Economic Zone Authority (ASEZA),Not Reported,State Verified,946,JOR,JOR,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,177446,177446,PA,Łachy Brzeskie,Łachy Brzeskie,Rezerwat Przyrody,Nature Reserve,National,IV,Not Applicable,Terrestrial,0,0,4.7862420654,4.7902092116387,Not Applicable,0,Designated,1998,Federal or national ministry or agency,Not Applicable,Not Reported,Not Applicable,"Generalna Dyrekcja Ochrony Środowiska, ul. Wawelska 52/54, 00-922 Warszawa",Not Reported,State Verified,2013,POL,POL,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,2554,2554,PA,Darien National Park,Parc national du Darien,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(ix);(vii);(x),Terrestrial,0,4.42653479856354,5790,5466.85978315204,Not Applicable,0,Inscribed,1981,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,PAN,PAN,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,2978,2978,PA,Trustom Pond National Wildlife Refuge,Trustom Pond National Wildlife Refuge,Marine Protected Area,Marine Protected Area,National,IV,Not Applicable,Terrestrial,0,0.000824576391298,3.2276636532,3.22767110679469,None,0,Designated,1974,Federal or national ministry or agency,Not Applicable,State,Not Applicable,U.S. Fish and Wildlife Service,Non-MPA Programmatic Species Management Plan,State Verified,1848,USA,USA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555703203,555703203,PA,Barberton Makhonjwa Mountains,Barberton Makhonjwa Mountains,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(viii),Terrestrial,0,0,1131.37,1131.40835157591,Not Applicable,0,Inscribed,2018,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,ZAF,ZAF,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,900713,900713,PA,Chréa,Chréa,UNESCO-MAB Biosphere Reserve,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Terrestrial,0,0,369.85,412.160131468837,Not Applicable,0,Designated,2002,Not Reported,Not Applicable,State,Not Applicable,Ministère de l'Agriculture et du développement Rural,Not Reported,State Verified,1970,DZA,DZA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555581369,555581369,PA,Hawkshead,Hawkshead,Nature Reserve,Nature Reserve,National,V,Not Applicable,Terrestrial,0,0,4.2237,4.22640296807554,Not Applicable,0,Designated,1929,Non-profit organisations,Not Applicable,Not Reported,Not Applicable,National Trust,Not Reported,Expert Verified,1846,GBR,GBR,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,478151,478151,PA,Mui Ca Mau,Mui Cà Mau,UNESCO-MAB Biosphere Reserve,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Coastal,0,3204.32236961745,3108.68,4857.37007498223,Not Reported,0,Designated,2000,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,Not Reported,831,VNM,VNM,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,93292,93292,PA,Caves of Aggtelek Karst and Slovak Karst,Grottes du karst d'Aggtelek et du karst de Slovaquie,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(viii),Terrestrial,0,0,566.5057,595.737850254604,Not Applicable,0,Inscribed,1995,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,HUN;SVK,HUN;SVK,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,12203,12203,PA,Iguaçu National Park,Parc national d'Iguaçu,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(vii);(x),Terrestrial,0,0,1696.9588,1696.94688607332,Not Applicable,0,Inscribed,1986,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555624151,555624151,PA,Reserva de Biosfera Bioma Pampa,Reserva de Biosfera Bioma Pampa,Reserva de la Biósfera,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Terrestrial,0,0,1108.82,1109.37598713312,Not Applicable,0,Designated,2014,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1709,URY,URY,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555784010,555784010,PA,Paraty and Ilha Grande - Culture and Biodiversity,Paraty and Ilha Grande - Culture and Biodiversity,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(v);(x),Terrestrial,0,51.7551471296926,1731.6418,1507.15747077871,Not Applicable,0,Inscribed,2019,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Point,2111,2111,PA,Hauy Tak Teak Reserve,Hauy Tak Teak Reserve,UNESCO-MAB Biosphere Reserve,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Terrestrial,0,,47,,Not Applicable,0,Designated,1977,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,988,THA,THA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555637394,555637394,PA,Port Erin Bay,Port Erin Bay,Marine Protected Area (OSPAR),Marine Protected Area (OSPAR),Regional,IV,Not Applicable,Marine,4,4.27517550959283,4,4.34292884514352,Not Reported,0,Designated,2018,Collaborative governance,Not Reported,Not Reported,Not Applicable,OSPAR Commission,http://mpa.ospar.org/home_ospar/mpa_datasheets,State Verified,883,GBR,GBR,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Polygon,555790224,555790224,PA,Kuda Kan'du,Kuda Kan'du,UNESCO-MAB Biosphere Reserve,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Marine,4.62,4.61937989539726,4.62,4.61937989539726,Part,2.99,Designated,2020,Federal or national ministry or agency,Not Applicable,State,Not Applicable,Addu City Council,Not Reported,State Verified,1857,MDV,MDV,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Polygon,124388,124388,PA,Laponian Area,Région de Laponie,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(iii);(ix);(v);(vii);(viii),Terrestrial,0,0,9409,9331.23450085966,Not Applicable,0,Inscribed,1996,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,SWE,SWE,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,2574,2574,PA,Mount Nimba Strict Nature Reserve,Réserve naturelle intégrale du mont Nimba,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(ix);(x),Terrestrial,0,0,221.3,192.557578602749,Not Applicable,0,Inscribed,1981,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,CIV;GIN,CIV;GIN,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,127191,127191,PA,Lawley River,Lawley River,National Park,National Park,National,II,Not Applicable,Terrestrial,0,12.6724460923112,173.1906890869,173.190693448776,Not Applicable,0,Designated,2000,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,AU-WA_DBCA,Not Reported,State Verified,1804,AUS,AUS,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555512001,555512001,PA,Papahānaumokuākea,Papahānaumokuākea,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(iii);(ix);(vi);(viii);(x),Marine,0,362155.11760306,362074.99,362169.390242327,Not Reported,0,Inscribed,2010,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,USA,USA,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Polygon,555571027,555571027,PA,Namaqua National Park Marine Protected Area,Namaqua National Park Marine Protected Area,Marine Protected Area,Marine Protected Area,National,Not Reported,Not Applicable,Marine,549.396927591,542.823310641864,549.396927591,549.404290154911,Not Reported,0,Designated,2019,Federal or national ministry or agency,Not Applicable,State,Not Applicable,South African National Parks,Not Reported,State Verified,1840,ZAF,ZAF,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Point,2082,2082,PA,Forêt Domaniale du Circeo,Forêt Domaniale du Circeo,UNESCO-MAB Biosphere Reserve,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Terrestrial,0,,85,,Not Applicable,0,Designated,1977,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,988,ITA,ITA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,20015,20015,PA,Šumava,Šumava,UNESCO-MAB Biosphere Reserve,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Terrestrial,0,0,1671.17,1676.2626271884,Not Applicable,0,Designated,1990,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1864,CZE,CZE,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,145585,145585,PA,Mount Kenya National Park/Natural Forest,Parc national/Forêt naturelle du mont Kenya,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(ix);(vii),Terrestrial,0,0,2023.34,1975.92578864941,Not Applicable,0,Inscribed,1997,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,KEN,KEN,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,10270,10270,PA,Chitral Gol,Chitral Gol,National Park (NP),National Park (NP),National,Not Reported,Not Applicable,Terrestrial,0,0,77.5,149.451114506638,Not Applicable,0,Designated,1984,Not Reported,Not Applicable,State,Not Applicable,Sub-national (Provincial Wildlife Department),Not Reported,State Verified,2105,PAK,PAK,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555548176,555548176_1,PA,Upper Spencer Gulf,Upper Spencer Gulf,Marine Park,Marine Park,National,II,Not Applicable,Coastal,207.2171783447,133.736834894464,207.2171783447,207.218649514649,All ,207.2171796453,Designated,2009,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,AU-SA_DEW,Not Reported,State Verified,1804,AUS,AUS,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,10721,10721,PA,Sierra del Rosario,Sierra del Rosario,UNESCO-MAB Biosphere Reserve,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Terrestrial,0,0,250,236.386888419028,Not Applicable,0,Designated,1984,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,532,CUB,CUB,Not Applicable,Not Applicable,Not Reported,Not Applicable
